우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
34183|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301141|대학로76번안길|Daehak-ro 76beonan-gil|0|48|0|3020012200104900009000001|||3020012200|궁동||온천2동|0|490|01|9||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|13|0|3020012200104050005011324|||3020012200|궁동||온천2동|0|405|01|5||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|17|0|3020012200104050004011082|||3020012200|궁동||온천2동|0|405|01|4||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|22|0|3020012200104040019011385|||3020012200|궁동||온천2동|0|404|01|19||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|20|0|3020012200104040018009253|||3020012200|궁동||온천2동|0|404|01|18||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|12|0|3020012200104040015000001|||3020012200|궁동||온천2동|0|404|01|15||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|11|0|3020012200104050006011320|||3020012200|궁동||온천2동|0|405|01|6||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|3|0|3020012200104050009000001|||3020012200|궁동||온천2동|0|405|01|9||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301094|농대로21번길|Nongdae-ro 21beon-gil|0|24|0|3020012200104040020009250|||3020012200|궁동||온천2동|0|404|01|20||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|16|0|3020012200104050016011426|||3020012200|궁동||온천2동|0|405|01|16||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|18|0|3020012200104050017011428|||3020012200|궁동||온천2동|0|405|01|17||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|14|0|3020012200104050015011427|||3020012200|궁동||온천2동|0|405|01|15||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|4|0|3020012200104050012011437|||3020012200|궁동||온천2동|0|405|01|12||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|19|0|3020012200104060003011569|||3020012200|궁동||온천2동|0|406|01|3||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|20|0|3020012200104050018011447|||3020012200|궁동||온천2동|0|405|01|18||
